time;position
5.460;0.437361
5.470;0.433573
5.480;0.429806
5.490;0.425846
5.500;0.421885
5.510;0.417925
5.520;0.413943
5.530;0.410155
5.540;0.406123
5.550;0.404625
5.560;0.401009
5.570;0.397373
5.580;0.39391
5.590;0.390639
5.600;0.38731
5.610;0.384556
5.620;0.381782
5.630;0.379162
5.640;0.376906
5.650;0.374822
5.660;0.372873
5.670;0.371497
5.680;0.370065
5.690;0.369167
5.700;0.368614
5.710;0.368424
5.720;0.368387
5.730;0.368694
5.740;0.369345
5.750;0.370358
5.760;0.371525
5.770;0.373053
5.780;0.374735
5.790;0.376779
5.800;0.378976
5.810;0.381535
5.820;0.384265
5.830;0.387168
5.840;0.390241
5.850;0.393506
5.860;0.396751
5.870;0.400168
5.880;0.404018
5.890;0.405302
5.900;0.409062
5.910;0.413013
5.920;0.416985
5.930;0.420744
5.940;0.424717
5.950;0.428497
5.960;0.43232
5.970;0.435734
5.980;0.439387
5.990;0.442674
6.000;0.445767
6.010;0.448905
6.020;0.451677
6.030;0.454301
6.040;0.456558
6.050;0.458667
6.060;0.460432
6.070;0.46183
6.080;0.463057
6.090;0.464135
6.100;0.464614
6.110;0.467129
6.120;0.467371
6.130;0.46705
6.140;0.466581
6.150;0.466
6.160;0.462888
6.170;0.461363
6.180;0.459665
6.190;0.457818
6.200;0.455603
6.210;0.453239
6.220;0.450484
6.230;0.447775
6.240;0.444698
6.250;0.441427
6.260;0.4382
6.270;0.434584
6.280;0.43099
6.290;0.427202
6.300;0.423414
6.310;0.419626
6.320;0.415837
6.330;0.412029
6.340;0.408188
6.350;0.406671
6.360;0.403227
6.370;0.399764
6.380;0.396493
6.390;0.393182
6.400;0.390256
6.410;0.38729
6.420;0.384689
6.430;0.38228
6.440;0.379832
6.450;0.377748
6.460;0.375817
6.470;0.37425
6.480;0.372836
6.490;0.371785
6.500;0.370869
6.510;0.370507
6.520;0.370316
6.530;0.37026
6.540;0.370758
6.550;0.371427
6.560;0.372231
6.570;0.373588
6.580;0.375116
6.590;0.376779
6.600;0.379014
6.610;0.381229
6.620;0.383597
6.630;0.386328
6.640;0.38923
6.650;0.392303
6.660;0.395548
6.670;0.398985
6.680;0.402643
6.690;0.403948
6.700;0.407576
6.710;0.410972
6.720;0.414752
6.730;0.418532
6.740;0.422333
6.750;0.425941
6.760;0.429549
6.770;0.433179
6.780;0.436637
6.790;0.439902
6.800;0.443211
6.810;0.446155
6.820;0.448905
6.830;0.4517
6.840;0.454152
6.850;0.456214
6.860;0.458346
6.870;0.459916
6.880;0.461315
6.890;0.46231
6.900;0.465385
6.910;0.465729
6.920;0.466143
6.930;0.465995
6.940;0.465674
6.950;0.465204
6.960;0.464391
6.970;0.463232
6.980;0.46173
6.990;0.45986
7.000;0.45784
7.010;0.455431
7.020;0.453066
7.030;0.450605
7.040;0.445365
7.050;0.442288
7.060;0.439017
7.070;0.43579
7.080;0.432174
7.090;0.428558
7.100;0.424942
7.110;0.421347
7.120;0.417559
7.130;0.41375
7.140;0.410114
7.150;0.406671
7.160;0.403005
7.170;0.401658
7.180;0.398367
7.190;0.395268
7.200;0.392149
7.210;0.389203
7.220;0.38643
7.230;0.383809
7.240;0.381572
7.250;0.379297
7.260;0.377366
7.270;0.375798
7.280;0.374384
7.290;0.373333
7.300;0.372436
7.310;0.371901
7.320;0.37152
7.330;0.371483
7.340;0.37179
7.350;0.37244
7.360;0.373472
7.370;0.374447
7.380;0.375976
7.390;0.377676
7.400;0.379529
7.410;0.381764
7.420;0.38396
7.430;0.386519
7.440;0.389249
7.450;0.392151
7.460;0.395225
7.470;0.398489
7.480;0.401734
7.490;0.405171
7.500;0.408852
7.510;0.409962
7.520;0.41357
7.530;0.417178
7.540;0.420786
7.550;0.424394
7.560;0.428024
7.570;0.431482
7.580;0.434747
7.590;0.438034
7.600;0.441149
7.610;0.444093
7.620;0.446865
7.630;0.449488
7.640;0.451745
7.650;0.45383
7.660;0.455744
7.670;0.457509
7.680;0.458907
7.690;0.460134
7.700;0.460981
7.710;0.463689
7.720;0.463884
7.730;0.463907
7.740;0.463782
7.750;0.463312
7.760;0.462475
7.770;0.461489
7.780;0.460135
7.790;0.458885
7.800;0.454869
7.810;0.452849
7.820;0.450439
7.830;0.448074
7.840;0.445343
7.850;0.442438
7.860;0.439339
7.870;0.436262
7.880;0.433013
7.890;0.42957
7.900;0.426126
7.910;0.422704
7.920;0.419088
7.930;0.415451
7.940;0.411987
7.950;0.408491
7.960;0.407339
7.970;0.404068
7.980;0.400777
7.990;0.397678
8.000;0.39454
8.010;0.391766
8.020;0.389184
8.030;0.386583
8.040;0.384115
8.050;0.382241
8.060;0.380138
8.070;0.378379
8.080;0.376984
8.090;0.375742
8.100;0.374863
8.110;0.374137
8.120;0.373756
8.130;0.373756
8.140;0.3737
8.150;0.374197
8.160;0.374866
8.170;0.37567
8.180;0.377045
8.190;0.378364
8.200;0.380255
8.210;0.382127
8.220;0.384151
8.230;0.386538
8.240;0.389097
8.250;0.391847
8.260;0.394557
8.270;0.397869
8.280;0.398833
8.290;0.402098
8.300;0.405363
8.310;0.408607
8.320;0.412023
8.330;0.415652
8.340;0.419089
8.350;0.422525
8.360;0.425962
8.370;0.42942
8.380;0.432685
8.390;0.435972
8.400;0.439087
8.410;0.44203
8.420;0.444802
8.430;0.447403
8.440;0.449832
8.450;0.452111
8.460;0.454025
8.470;0.455767
8.480;0.45736
8.490;0.458586
8.500;0.459664
8.510;0.460375
8.520;0.460684
8.530;0.463047
8.540;0.462898
8.550;0.462601
8.560;0.461959
8.570;0.460949
8.580;0.459768
8.590;0.458437
8.600;0.456739
8.610;0.454892
8.620;0.452926
8.630;0.448396
8.640;0.445837
8.650;0.443105
8.660;0.4402
8.670;0.437123
8.680;0.433852
8.690;0.430581
8.700;0.427331
8.710;0.423888
8.720;0.420444
8.730;0.417001
8.740;0.413558
8.750;0.410094
8.760;0.406802
8.770;0.403501
8.780;0.402326
8.790;0.399207
8.800;0.396281
8.810;0.393335
8.820;0.390541
8.830;0.388112
8.840;0.385875
8.850;0.38358
8.860;0.381859
8.870;0.380119
8.880;0.378532
8.890;0.377309
8.900;0.37622
8.910;0.375704
8.920;0.375151
8.930;0.374941
8.940;0.375094
8.950;0.375401
8.960;0.37607
8.970;0.376892
8.980;0.378077
8.990;0.379414
9.000;0.381133
9.010;0.382814
9.020;0.384858
9.030;0.387073
9.040;0.38946
9.050;0.392038
9.060;0.394577
9.070;0.397498
9.080;0.4004
9.090;0.403493
9.100;0.406789
9.110;0.40794
9.120;0.411185
9.130;0.414621
9.140;0.418058
9.150;0.421516
9.160;0.424759
9.170;0.428239
9.180;0.431332
9.190;0.434425
9.200;0.437562
9.210;0.440312
9.220;0.443084
9.230;0.445706
9.240;0.447941
9.250;0.45022
9.260;0.452134
9.270;0.453876
9.280;0.455469
9.290;0.456695
9.300;0.457772
9.310;0.45846
9.320;0.459217
9.330;0.459389
9.340;0.45963
9.350;0.459332
9.360;0.458667
9.370;0.457829
9.380;0.456843
9.390;0.455489
9.400;0.453963
9.410;0.452287
9.420;0.450245
9.430;0.44803
9.440;0.445642
9.450;0.443082
9.460;0.440328
9.470;0.437618
9.480;0.434519
9.490;0.431442
9.500;0.428171
9.510;0.4249
9.520;0.42165
9.530;0.418185
9.540;0.414935
9.550;0.41145
9.560;0.408127
9.570;0.407146
9.580;0.404027
9.590;0.401101
9.600;0.398155
9.610;0.395381
9.620;0.392779
9.630;0.390369
9.640;0.387901
9.650;0.386028
9.660;0.383905
9.670;0.382356
9.680;0.380788
9.690;0.379374
9.700;0.378323
9.710;0.377443
9.720;0.376718
9.730;0.376336
9.740;0.376317
9.750;0.376452
9.760;0.376949
9.770;0.377618
9.780;0.37844
9.790;0.379605
9.800;0.381152
9.810;0.382662
9.820;0.384533
9.830;0.386577
9.840;0.388792
9.850;0.391179
9.860;0.393737
9.870;0.396467
9.880;0.399389
9.890;0.402511
9.900;0.403513
9.910;0.406414
9.920;0.409487
9.930;0.412752
9.940;0.416017
9.950;0.419261
9.960;0.422718
9.970;0.426005
9.980;0.429098
9.990;0.432191
10.000;0.435328
10.010;0.438078
10.020;0.440849
10.030;0.44345
10.040;0.445878
10.050;0.448135
10.060;0.45022
10.070;0.452157
10.080;0.453727
10.090;0.454852
10.100;0.458437
10.110;0.459343
10.120;0.459859
10.130;0.460444
10.140;0.460444
10.150;0.460513
10.160;0.459997
10.170;0.45955
10.180;0.45854
10.190;0.457359
10.200;0.456028
10.210;0.45433
10.220;0.452482
10.230;0.450515
10.240;0.445964
10.250;0.443577
10.260;0.441017
10.270;0.438285
10.280;0.435358
10.290;0.432475
10.300;0.429182
10.310;0.426105
10.320;0.422834
10.330;0.419563
10.340;0.416291
10.350;0.41302
10.360;0.409729
10.370;0.40661
10.380;0.403461
10.390;0.40265
10.400;0.399704
10.410;0.39695
10.420;0.394156
10.430;0.391727
10.440;0.389489
10.450;0.387213
10.460;0.38532
10.470;0.383369
10.480;0.381993
10.490;0.380597
10.500;0.379355
10.510;0.378476
10.520;0.37775
10.530;0.377387
10.540;0.377177
10.550;0.37733
10.560;0.377636
10.570;0.378305
10.580;0.379127
10.590;0.380312
10.600;0.381687
10.610;0.383005
10.620;0.384896
10.630;0.386749
10.640;0.388983
10.650;0.391198
10.660;0.393585
10.670;0.396143
10.680;0.398873
10.690;0.401794
10.700;0.404959
10.710;0.405555
10.720;0.408648
10.730;0.411721
10.740;0.414986
10.750;0.418272
10.760;0.421344
10.770;0.42463
10.780;0.427744
10.790;0.430666
10.800;0.433587
