h1;h2;h3;h4;h5;h6;h7;h8
0.584135;0.560548;0.532813;0.511356;0.484161;0.460453;0.433621;0.407902
0.583791;0.560548;0.533501;0.511366;0.484514;0.460281;0.43344;0.405904
0.583447;0.560559;0.5342;0.511194;0.484686;0.460109;0.43344;0.406248
0.58308;0.560387;0.534705;0.511032;0.484868;0.459937;0.43344;0.406584
0.58308;0.560226;0.535404;0.510688;0.484858;0.459765;0.43344;0.407091
0.583068;0.559882;0.53592;0.510334;0.48503;0.459593;0.43344;0.407788
0.583229;0.559527;0.536447;0.510183;0.485212;0.459421;0.433431;0.408304
0.583561;0.559355;0.536801;0.509656;0.485222;0.459249;0.433603;0.408819
0.584065;0.559183;0.536973;0.509323;0.48504;0.459068;0.433784;0.409335
0.584765;0.559;0.537156;0.508796;0.48505;0.459077;0.433775;0.409851
0.585269;0.559011;0.537167;0.508452;0.484878;0.458896;0.433947;0.410376
0.585969;0.558839;0.536995;0.508098;0.484706;0.458896;0.434128;0.41072
0.586497;0.558656;0.536844;0.507926;0.484534;0.458887;0.434119;0.411064
0.586852;0.558656;0.536317;0.507754;0.484371;0.459068;0.434291;0.411408
0.587024;0.558645;0.535995;0.507572;0.484018;0.459068;0.434481;0.411768
0.58722;0.558817;0.535296;0.507582;0.483855;0.459059;0.434309;0.41176
0.587059;0.558978;0.534791;0.5074;0.483502;0.459231;0.434137;0.41194
0.586727;0.559333;0.534092;0.50739;0.48333;0.459403;0.433956;0.411948
0.586211;0.559505;0.533587;0.507552;0.483158;0.459575;0.433965;0.411776
0.585695;0.559666;0.532888;0.507896;0.482976;0.459747;0.433793;0.411604
0.585179;0.560021;0.532361;0.50824;0.482986;0.459919;0.433612;0.411449
0.584675;0.560204;0.532007;0.508584;0.482814;0.460091;0.433612;0.410924
0.583963;0.560204;0.531835;0.508928;0.482632;0.460263;0.433612;0.410589
0.583619;0.560182;0.531652;0.509272;0.482622;0.460444;0.433612;0.410073
0.583264;0.560548;0.531641;0.509616;0.482804;0.460435;0.433621;0.409557
0.58308;0.560548;0.531803;0.50996;0.482794;0.460607;0.43344;0.409041
0.583068;0.560559;0.532147;0.510314;0.482966;0.460788;0.43344;0.408525
0.583229;0.560387;0.53248;0.510476;0.483138;0.460788;0.43344;0.408008
0.583561;0.560226;0.532985;0.51083;0.48331;0.460788;0.43344;0.407501
0.584077;0.559882;0.533684;0.511012;0.483482;0.460788;0.43344;0.406796
0.584605;0.559527;0.534189;0.511022;0.483654;0.460788;0.433449;0.40646
0.584937;0.559355;0.534888;0.51084;0.483817;0.460788;0.433268;0.405936
0.585453;0.559183;0.535404;0.51085;0.48417;0.460797;0.433268;0.405584
0.585981;0.559;0.53592;0.510678;0.484342;0.460616;0.433268;0.405412
0.586336;0.559011;0.536447;0.510516;0.484514;0.460625;0.433268;0.405248
0.58652;0.558839;0.536801;0.510172;0.484696;0.460453;0.433268;0.404888
0.58652;0.558667;0.536973;0.509828;0.484686;0.460281;0.433259;0.404888
0.586532;0.558484;0.537156;0.509484;0.484868;0.460109;0.433423;0.40488
0.586371;0.558473;0.537167;0.50914;0.484868;0.459937;0.433775;0.405044
0.586039;0.558645;0.537005;0.508796;0.484868;0.459765;0.433956;0.405396
0.585523;0.558806;0.536672;0.508442;0.484868;0.459593;0.433956;0.40556
0.585007;0.55915;0.536145;0.50828;0.484878;0.459412;0.433956;0.405904
0.584491;0.559505;0.535823;0.507926;0.484706;0.459421;0.433965;0.40624
0.583963;0.559666;0.535124;0.507754;0.484534;0.45924;0.433784;0.406756
0.583619;0.560021;0.534619;0.507572;0.484362;0.45924;0.433793;0.407272
0.583252;0.560204;0.533931;0.507572;0.48419;0.45924;0.433612;0.407788
0.583252;0.560193;0.533232;0.507562;0.484018;0.459249;0.433612;0.408295
0.58324;0.560365;0.532705;0.507734;0.483846;0.459059;0.433612;0.409
0.583401;0.560537;0.532361;0.507906;0.483683;0.45924;0.433603;0.409327
0.583745;0.560709;0.532007;0.508068;0.48333;0.45924;0.433784;0.410023
0.584077;0.560892;0.531835;0.508412;0.483158;0.45924;0.433793;0.410548
0.584593;0.560914;0.531652;0.508756;0.482986;0.459231;0.433612;0.410892
