h0;h1;h2;h3;h4;h5;h6;h6p;h7;h8
0.431213;0.393028;0.351045;0.307708;0.262988;0.221364;0.180256;0.308064;0.268492;0.224288
0.431032;0.392856;0.351231;0.307702;0.262993;0.221364;0.180256;0.307708;0.268492;0.224288
0.431041;0.392684;0.351059;0.30788;0.262821;0.221364;0.180256;0.307634;0.268492;0.224288
0.430869;0.39252;0.35088;0.307874;0.262644;0.221364;0.180256;0.309772;0.268492;0.224288
0.430688;0.392168;0.350894;0.308052;0.262644;0.221364;0.18026;0.309772;0.268492;0.224284
0.430697;0.392004;0.35055;0.30812;0.262649;0.221364;0.180084;0.309772;0.268492;0.224456
0.430525;0.391652;0.350206;0.30616;0.262472;0.221364;0.180088;0.309846;0.268492;0.224628
0.430344;0.39148;0.349855;0.30616;0.262467;0.221364;0.179916;0.307702;0.268492;0.2248
0.430353;0.391323;0.349683;0.30616;0.262644;0.221364;0.179744;0.3078;0.268492;0.224972
0.430172;0.390792;0.349511;0.30616;0.262639;0.221364;0.179572;0.310104;0.268492;0.225139
0.430172;0.39062;0.349339;0.30616;0.262816;0.221368;0.179403;0.310448;0.268492;0.225483
0.430163;0.39044;0.349167;0.30616;0.262811;0.221192;0.179056;0.310804;0.268492;0.225827
0.430335;0.39044;0.349002;0.30616;0.262983;0.221192;0.178884;0.310872;0.268492;0.226171
0.430507;0.390432;0.348644;0.30616;0.263155;0.221192;0.178715;0.308826;0.268492;0.226515
0.430679;0.390596;0.348644;0.30616;0.263327;0.221192;0.178371;0.311308;0.268492;0.226859
0.43086;0.390948;0.348637;0.306166;0.263493;0.221192;0.178024;0.311645;0.268492;0.227203
0.430851;0.39112;0.348816;0.305988;0.263843;0.221192;0.177852;0.312168;0.268492;0.227547
0.431032;0.391292;0.348809;0.305994;0.264015;0.221192;0.17768;0.312518;0.268487;0.227895
0.431032;0.391456;0.348981;0.305816;0.264187;0.221196;0.177511;0.312696;0.268664;0.228063
0.431032;0.3918;0.349153;0.305822;0.264359;0.221016;0.177164;0.31269;0.268664;0.228407
0.431032;0.392144;0.349325;0.305644;0.264531;0.221192;0.176988;0.312855;0.268664;0.228755
0.431032;0.392488;0.34949;0.305577;0.264703;0.221192;0.176992;0.313199;0.268664;0.228927
0.431032;0.39284;0.349841;0.30761;0.26488;0.221196;0.176816;0.313543;0.268664;0.229099
0.431041;0.393012;0.350006;0.305478;0.26488;0.221016;0.176812;0.3139;0.268664;0.229271
