Configuration 3:  

(using maxima)

3 - 13 	 T:  0.8785000000000001
3 - 14 	 T:  0.8786363636363635
3 - 15 	 T:  0.8791666666666668
3 - 16 	 T:  0.8792307692307693
3 - 17 	 T:  0.8785714285714287
3 - 18 	 T:  0.8786666666666666
3 - 19 	 T:  0.8790625000000001
3 - 20 	 T:  0.8788235294117648
3 - 21 	 T:  0.8788888888888889
3 - 22 	 T:  0.878421052631579
3 - 23 	 T:  0.8790000000000001
3 - 24 	 T:  0.8788095238095239
3 - 25 	 T:  0.879090909090909
3 - 26 	 T:  0.8789130434782608
3 - 27 	 T:  0.87875
3 - 28 	 T:  0.8788000000000001
3 - 29 	 T:  0.8784615384615384
3 - 30 	 T:  0.8788888888888889
3 - 31 	 T:  0.87875
3 - 32 	 T:  0.8787931034482759
3 - 33 	 T:  0.8786666666666666
3 - 34 	 T:  0.8787096774193549
3 - 35 	 T:  0.8784375
3 - 36 	 T:  0.8786363636363637
3 - 37 	 T:  0.8788235294117648
3 - 38 	 T:  0.8785714285714286
3 - 39 	 T:  0.8786111111111112
3 - 40 	 T:  0.8786486486486486
3 - 41 	 T:  0.8786842105263158
3 - 42 	 T:  0.8785897435897436
3 - 43 	 T:  0.8795
3 - 44 	 T:  0.8786585365853659
3 - 45 	 T:  0.8783333333333333
3 - 46 	 T:  0.8784883720930232
3 - 47 	 T:  0.8772727272727273
3 - 48 	 T:  0.8783333333333333
3 - 49 	 T:  0.8784782608695653
3 - 50 	 T:  0.878404255319149
3 - 51 	 T:  0.8777083333333334
3 - 52 	 T:  0.8788775510204081
3 - 53 	 T:  0.8785000000000001
3 - 54 	 T:  0.8785294117647059
3 - 55 	 T:  0.8778846153846154
3 - 56 	 T:  0.8784905660377359
3 - 57 	 T:  0.8783333333333333
3 - 58 	 T:  0.8784545454545454
3 - 59 	 T:  0.8775000000000001
3 - 60 	 T:  0.8778070175438597
3 - 61 	 T:  0.8786206896551725
3 - 62 	 T:  0.8783898305084746
3 - 63 	 T:  0.8775833333333334
3 - 64 	 T:  0.8782786885245902
3 - 65 	 T:  0.8776612903225807
3 - 66 	 T:  0.8783333333333333
3 - 67 	 T:  0.877890625
3 - 68 	 T:  0.8780769230769231
3 - 69 	 T:  0.8782575757575758
3 - 70 	 T:  0.8782835820895523
3 - 71 	 T:  0.876985294117647
3 - 72 	 T:  0.8781159420289856
3 - 73 	 T:  0.8782857142857143
3 - 74 	 T:  0.8769718309859156
3 - 75 	 T:  0.877013888888889
3 - 76 	 T:  0.8782191780821917
3 - 77 	 T:  0.8780405405405405
3 - 78 	 T:  0.8773333333333333
3 - 79 	 T:  0.8773026315789473
3 - 80 	 T:  0.8781818181818181
3 - 81 	 T:  0.8782051282051282
3 - 82 	 T:  0.8781645569620253
3 - 83 	 T:  0.878125
3 - 84 	 T:  0.8782098765432098
3 - 85 	 T:  0.8781097560975609
3 - 86 	 T:  0.8779518072289155
3 - 87 	 T:  0.8781547619047619
3 - 88 	 T:  0.8780588235294117
3 - 89 	 T:  0.8780813953488372
3 - 90 	 T:  0.8779885057471263
3 - 91 	 T:  0.8781249999999999
3 - 92 	 T:  0.8780898876404494
3 - 93 	 T:  0.8780555555555555
3 - 94 	 T:  0.8779670329670329
