Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
5 - 27 	 T:  0.804090909090909
5 - 28 	 T:  0.8039130434782608
5 - 29 	 T:  0.80375
5 - 30 	 T:  0.8039999999999999
5 - 31 	 T:  0.8038461538461538
5 - 32 	 T:  0.8037037037037037
5 - 33 	 T:  0.8039285714285713
5 - 34 	 T:  0.8037931034482758
5 - 35 	 T:  0.8036666666666666
5 - 36 	 T:  0.8038709677419354
5 - 37 	 T:  0.80375
5 - 38 	 T:  0.8039393939393938
5 - 39 	 T:  0.8041176470588235
5 - 40 	 T:  0.8037142857142857
5 - 41 	 T:  0.8038888888888889
5 - 42 	 T:  0.8037837837837838
5 - 43 	 T:  0.8039473684210525
5 - 44 	 T:  0.8038461538461539
5 - 45 	 T:  0.80375
5 - 46 	 T:  0.8036585365853658
5 - 47 	 T:  0.8038095238095238
5 - 48 	 T:  0.8037209302325582
5 - 49 	 T:  0.8036363636363636
5 - 50 	 T:  0.8035555555555555
5 - 51 	 T:  0.8034782608695652
5 - 52 	 T:  0.8036170212765956
6 - 7 	 T:  0.8100000000000005
6 - 8 	 T:  0.8050000000000002
6 - 9 	 T:  0.8033333333333333
6 - 10 	 T:  0.8050000000000002
6 - 11 	 T:  0.8039999999999999
6 - 12 	 T:  0.805
6 - 13 	 T:  0.8057142857142858
6 - 14 	 T:  0.8049999999999999
6 - 15 	 T:  0.8044444444444445
6 - 16 	 T:  0.804
6 - 17 	 T:  0.8036363636363636
6 - 18 	 T:  0.8041666666666667
6 - 19 	 T:  0.8046153846153847
6 - 20 	 T:  0.8042857142857143
6 - 21 	 T:  0.8046666666666665
6 - 22 	 T:  0.8037500000000001
6 - 23 	 T:  0.8041176470588235
6 - 24 	 T:  0.8044444444444444
6 - 25 	 T:  0.8042105263157895
6 - 26 	 T:  0.8045000000000002
6 - 27 	 T:  0.8042857142857143
6 - 28 	 T:  0.804090909090909
6 - 29 	 T:  0.803913043478261
6 - 30 	 T:  0.8041666666666666
6 - 31 	 T:  0.804
6 - 32 	 T:  0.8038461538461538
6 - 33 	 T:  0.804074074074074
6 - 34 	 T:  0.8039285714285713
6 - 35 	 T:  0.8037931034482759
6 - 36 	 T:  0.8039999999999999
6 - 37 	 T:  0.8038709677419356
6 - 38 	 T:  0.8040624999999999
6 - 39 	 T:  0.8042424242424242
6 - 40 	 T:  0.8038235294117646
6 - 41 	 T:  0.804
6 - 42 	 T:  0.803888888888889
6 - 43 	 T:  0.8040540540540541
