Configuration 1:  

(using maxima)

6 - 24 	 T:  0.8059999999999999
6 - 25 	 T:  0.8063157894736842
6 - 26 	 T:  0.8064
6 - 27 	 T:  0.8017142857142856
6 - 28 	 T:  0.8069090909090909
6 - 29 	 T:  0.8062608695652174
6 - 30 	 T:  0.8061666666666666
6 - 31 	 T:  0.8065599999999999
6 - 32 	 T:  0.8059999999999999
6 - 33 	 T:  0.8063703703703703
6 - 34 	 T:  0.8055714285714286
6 - 35 	 T:  0.8062068965517241
6 - 36 	 T:  0.8061333333333334
6 - 37 	 T:  0.8056774193548387
6 - 38 	 T:  0.806375
6 - 39 	 T:  0.806060606060606
6 - 40 	 T:  0.806235294117647
6 - 41 	 T:  0.8062857142857144
6 - 42 	 T:  0.8057777777777777
6 - 43 	 T:  0.8061621621621622
6 - 44 	 T:  0.8058947368421052
6 - 45 	 T:  0.8058461538461539
6 - 46 	 T:  0.8057000000000001
6 - 47 	 T:  0.8062439024390246
6 - 48 	 T:  0.8035238095238096
6 - 49 	 T:  0.8064186046511629
6 - 50 	 T:  0.8062727272727274
7 - 8 	 T:  0.7679999999999998
7 - 9 	 T:  0.802
7 - 10 	 T:  0.8026666666666668
7 - 11 	 T:  0.7970000000000002
7 - 12 	 T:  0.8056000000000001
7 - 13 	 T:  0.8046666666666665
7 - 14 	 T:  0.7954285714285714
7 - 15 	 T:  0.8085
7 - 16 	 T:  0.8048888888888889
7 - 17 	 T:  0.8056000000000001
7 - 18 	 T:  0.8065454545454546
7 - 19 	 T:  0.8056666666666666
7 - 20 	 T:  0.8064615384615385
7 - 21 	 T:  0.8062857142857142
7 - 22 	 T:  0.8066666666666666
7 - 23 	 T:  0.80625
7 - 24 	 T:  0.8056470588235294
7 - 25 	 T:  0.806
7 - 26 	 T:  0.8061052631578948
7 - 27 	 T:  0.8012
7 - 28 	 T:  0.8066666666666665
7 - 29 	 T:  0.8059999999999999
7 - 30 	 T:  0.805913043478261
7 - 31 	 T:  0.8063333333333332
7 - 32 	 T:  0.8057599999999999
7 - 33 	 T:  0.8061538461538462
7 - 34 	 T:  0.8053333333333333
7 - 35 	 T:  0.8059999999999999
7 - 36 	 T:  0.8059310344827586
7 - 37 	 T:  0.8054666666666667
7 - 38 	 T:  0.8061935483870967
7 - 39 	 T:  0.8058749999999999
7 - 40 	 T:  0.8060606060606061
7 - 41 	 T:  0.8061176470588236
7 - 42 	 T:  0.8056
7 - 43 	 T:  0.8059999999999999
7 - 44 	 T:  0.8057297297297297
7 - 45 	 T:  0.8056842105263158
7 - 46 	 T:  0.8055384615384614
7 - 47 	 T:  0.8061
7 - 48 	 T:  0.8033170731707318
7 - 49 	 T:  0.8062857142857143
7 - 50 	 T:  0.8061395348837209
8 - 9 	 T:  0.8360000000000003
8 - 10 	 T:  0.8200000000000003
8 - 11 	 T:  0.806666666666667
8 - 12 	 T:  0.8150000000000002
8 - 13 	 T:  0.8119999999999999
8 - 14 	 T:  0.7999999999999999
8 - 15 	 T:  0.8142857142857143
8 - 16 	 T:  0.8095
8 - 17 	 T:  0.8097777777777779
8 - 18 	 T:  0.8103999999999999
8 - 19 	 T:  0.809090909090909
8 - 20 	 T:  0.8096666666666668
8 - 21 	 T:  0.8092307692307692
8 - 22 	 T:  0.8094285714285715
8 - 23 	 T:  0.8088000000000001
8 - 24 	 T:  0.808
8 - 25 	 T:  0.8082352941176472
8 - 26 	 T:  0.8082222222222223
8 - 27 	 T:  0.8029473684210526
8 - 28 	 T:  0.8086
8 - 29 	 T:  0.8078095238095239
8 - 30 	 T:  0.8076363636363637
8 - 31 	 T:  0.8079999999999999
8 - 32 	 T:  0.8073333333333333
8 - 33 	 T:  0.80768
8 - 34 	 T:  0.8067692307692309
8 - 35 	 T:  0.8074074074074075
8 - 36 	 T:  0.8072857142857144
8 - 37 	 T:  0.8067586206896552
8 - 38 	 T:  0.8074666666666667
8 - 39 	 T:  0.8070967741935484
8 - 40 	 T:  0.80725
8 - 41 	 T:  0.8072727272727274
8 - 42 	 T:  0.8067058823529412
8 - 43 	 T:  0.8070857142857143
8 - 44 	 T:  0.8067777777777778
8 - 45 	 T:  0.8067027027027027
8 - 46 	 T:  0.8065263157894736
8 - 47 	 T:  0.8070769230769231
8 - 48 	 T:  0.8042
8 - 49 	 T:  0.8072195121951219
8 - 50 	 T:  0.807047619047619
9 - 10 	 T:  0.8040000000000003
9 - 11 	 T:  0.7920000000000003
9 - 12 	 T:  0.8080000000000002
9 - 13 	 T:  0.8059999999999998
9 - 14 	 T:  0.7928
9 - 15 	 T:  0.8106666666666666
9 - 16 	 T:  0.8057142857142857
9 - 17 	 T:  0.8065000000000001
9 - 18 	 T:  0.8075555555555556
9 - 19 	 T:  0.8064
9 - 20 	 T:  0.8072727272727271
9 - 21 	 T:  0.8069999999999998
9 - 22 	 T:  0.8073846153846153
9 - 23 	 T:  0.8068571428571428
9 - 24 	 T:  0.8061333333333333
9 - 25 	 T:  0.8065
9 - 26 	 T:  0.8065882352941176
9 - 27 	 T:  0.801111111111111
9 - 28 	 T:  0.8071578947368421
9 - 29 	 T:  0.8064
9 - 30 	 T:  0.8062857142857143
9 - 31 	 T:  0.8067272727272726
9 - 32 	 T:  0.8060869565217391
9 - 33 	 T:  0.8064999999999999
9 - 34 	 T:  0.8056
9 - 35 	 T:  0.8063076923076923
9 - 36 	 T:  0.8062222222222223
9 - 37 	 T:  0.8057142857142857
9 - 38 	 T:  0.8064827586206896
9 - 39 	 T:  0.8061333333333333
9 - 40 	 T:  0.8063225806451613
9 - 41 	 T:  0.8063750000000001
9 - 42 	 T:  0.8058181818181818
9 - 43 	 T:  0.806235294117647
9 - 44 	 T:  0.8059428571428571
9 - 45 	 T:  0.8058888888888889
9 - 46 	 T:  0.8057297297297297
9 - 47 	 T:  0.8063157894736842
9 - 48 	 T:  0.8033846153846154
9 - 49 	 T:  0.8065
9 - 50 	 T:  0.8063414634146342
10 - 11 	 T:  0.7800000000000002
10 - 12 	 T:  0.81
10 - 13 	 T:  0.8066666666666663
10 - 14 	 T:  0.7899999999999998
10 - 15 	 T:  0.8119999999999999
10 - 16 	 T:  0.8059999999999999
10 - 17 	 T:  0.8068571428571429
10 - 18 	 T:  0.8079999999999999
10 - 19 	 T:  0.8066666666666665
10 - 20 	 T:  0.8076000000000001
10 - 21 	 T:  0.8072727272727271
10 - 22 	 T:  0.8076666666666666
10 - 23 	 T:  0.8070769230769231
10 - 24 	 T:  0.8062857142857143
10 - 25 	 T:  0.8066666666666668
10 - 26 	 T:  0.8067500000000001
10 - 27 	 T:  0.8009411764705883
10 - 28 	 T:  0.8073333333333333
10 - 29 	 T:  0.8065263157894738
10 - 30 	 T:  0.8064
10 - 31 	 T:  0.8068571428571428
10 - 32 	 T:  0.8061818181818182
10 - 33 	 T:  0.8066086956521739
10 - 34 	 T:  0.8056666666666668
10 - 35 	 T:  0.8064
10 - 36 	 T:  0.8063076923076924
10 - 37 	 T:  0.8057777777777778
10 - 38 	 T:  0.8065714285714286
10 - 39 	 T:  0.8062068965517241
10 - 40 	 T:  0.8064
